job_title,company,job_location,first_seen,search_city,search_country,search_position,job_level,job_type,year,month,month_name,country
Data Engineer,Jobs For Humanity,"Hartford, CT",2024-01-17,New Britain,United States,Tool-And-Die Supervisor,Mid-Senior,Onsite,2024,1,January,United States
Senior Machine Learning Engineer,Jobs For Humanity,"Fredericksburg, VA",2024-01-14,Bowling Green,United States,Agricultural-Research Engineer,Mid-Senior,Onsite,2024,1,January,United States
Audit Manager - Data/Tech (Bsa/Aml Including Sanctions),Bank Of America,"Charlotte, NC",2024-01-15,Harrisburg,United States,Accountant Systems,Mid-Senior,Onsite,2024,1,January,United States
Business Data Analyst - Iii (701569),The Judge Group,"Temple Terrace, FL",2024-01-14,Odessa,United States,Data Communications Analyst,Mid-Senior,Onsite,2024,1,January,United States
"Data Center Project Manager, Us-West Cpi",Amazon Web Services (Aws),"Umatilla, OR",2024-01-14,Kennewick,United States,Manager Records Analysis,Mid-Senior,Onsite,2024,1,January,United States
Clinical Data Steward,Steneral Consulting,"Bloomfield, CT",2024-01-14,New Britain,United States,Steward/Stewardess,Mid-Senior,Onsite,2024,1,January,United States
Senior Full-Stack Machine Learning Engineer- Optix,Ga-Ccri,"Charlottesville, VA",2024-01-14,Waynesboro,United States,Agricultural-Research Engineer,Mid-Senior,Onsite,2024,1,January,United States
Sr Field Application Engineer- Data & Devices,Te Connectivity,"Silicon Valley, CA",2024-01-14,Hayward,United States,Customer-Equipment Engineer,Mid-Senior,Onsite,2024,1,January,United States
Senior Data Analysis Engineer,Nikola Corporation,"Phoenix, AZ",2024-01-14,Arizona,United States,Data Base Administrator,Mid-Senior,Onsite,2024,1,January,United States
Technical Data Engineering Manager,Srs Distribution Inc.,"McKinney, TX",2024-01-15,Garland,United States,Chief Engineer,Mid-Senior,Onsite,2024,1,January,United States
"Staff Machine Learning Engineer, Series A",Recruiting From Scratch,"Cincinnati, OH",2024-01-14,Cincinnati,United States,Test Fixture Designer,Mid-Senior,Onsite,2024,1,January,United States
"Principal Associate, Data Loss Prevention (Dlp) Engineer",Jobs For Humanity,"Charlottesville, VA",2024-01-14,Waynesboro,United States,Architect,Mid-Senior,Onsite,2024,1,January,United States
Contractor - Epic Clarity Data Analyst,Deloitte,"New York, United States",2024-01-15,Hamilton,United States,Actuary,Mid-Senior,Onsite,2024,1,January,Other
Senior People Data Scientist,Atlassian,"San Francisco, CA",2024-01-16,Concord,United States,Mathematician,Mid-Senior,Onsite,2024,1,January,United States
It- Data Lifecycle Manager,Labella Associates,"Poughkeepsie, NY",2024-01-16,New Windsor,United States,Folder,Mid-Senior,Onsite,2024,1,January,United States
Senior Machine Learning Engineer,Jobs For Humanity,"Waco, TX",2024-01-14,Waco,United States,Agricultural-Research Engineer,Mid-Senior,Onsite,2024,1,January,United States
Ncdhhs- Health Informatics Data Analyst,Nr Consulting,"North Carolina, United States",2024-01-15,North Carolina,United States,Data Communications Technician,Mid-Senior,Onsite,2024,1,January,Other
Data Center Ops Analyst,Ntt Data Services,"Quincy, WA",2024-01-14,Ephrata,United States,Data Entry Clerk,Mid-Senior,Onsite,2024,1,January,United States
Senior Battery Data Scientist,Factorial Energy,"Billerica, MA",2024-01-15,Derry,United States,Biochemist,Mid-Senior,Onsite,2024,1,January,United States
Clinical Data Operator - Temp,Natera,"Pleasanton, CA",2024-01-14,Santa Clara,United States,Take-Up Operator,Mid-Senior,Onsite,2024,1,January,United States
"Lead Machine Learning Engineer (Bangkok Based, Relocation Provided)",Agoda,"Oakland, CA",2024-01-14,Vallejo,United States,Agricultural-Research Engineer,Mid-Senior,Onsite,2024,1,January,United States
Principal Machine Learning Engineer,Baker Hughes,"Austin, TX",2024-01-15,Austin,United States,Baker,Mid-Senior,Onsite,2024,1,January,United States
Lead Data & Analytics Engineer,Northreach,"London, England, United Kingdom",2024-01-16,Slough,United Kingdom,Loading-Machine Tool-Setter,Mid-Senior,Onsite,2024,1,January,United Kingdom
Volunteer: Nhq:It - Enterprise Web Services - Code4Good Volunteer - Data Scientist,Volunteermatch,"Washington, DC",2024-01-12,Alexandria,United States,Biologist,Associate,Onsite,2024,1,January,United States
